dataset,model,strategy,fold,accuracy,precision,recall,f1_score,roc_auc
IBM_Telco,Logistic,None,1,0.8112136266855926,0.6666666666666666,0.5775401069518716,0.6189111747851003,0.8544253274432302
IBM_Telco,Logistic,None,2,0.8112136266855926,0.6666666666666666,0.5775401069518716,0.6189111747851003,0.8455062130253946
IBM_Telco,Logistic,None,3,0.8197303051809794,0.6910828025477707,0.5802139037433155,0.6308139534883721,0.8634503603813066
IBM_Telco,Logistic,None,4,0.7911931818181818,0.6321070234113713,0.5067024128686327,0.5625,0.8252748960640323
IBM_Telco,Logistic,None,5,0.7940340909090909,0.6346153846153846,0.5294117647058824,0.577259475218659,0.8364988777293931
IBM_Telco,Logistic,Class_Weights,1,0.752306600425834,0.5215889464594128,0.8074866310160428,0.633788037775446,0.8547069157043581
IBM_Telco,Logistic,Class_Weights,2,0.7452093683463449,0.5124792013311148,0.8235294117647058,0.6317948717948718,0.8460022217055465
IBM_Telco,Logistic,Class_Weights,3,0.7508871540099361,0.5198618307426598,0.8048128342245989,0.6316894018887723,0.8626417628975174
IBM_Telco,Logistic,Class_Weights,4,0.7407670454545454,0.5071428571428571,0.7613941018766756,0.6087888531618435,0.8221406276307781
IBM_Telco,Logistic,Class_Weights,5,0.7478693181818182,0.5164644714038128,0.7967914438502673,0.6267087276550999,0.8362971793253964
IBM_Telco,Logistic,SMOTE,1,0.7579843860894251,0.5292035398230088,0.7994652406417112,0.6368477103301384,0.8533041411558036
IBM_Telco,Logistic,SMOTE,2,0.7444996451383961,0.5118243243243243,0.8101604278074866,0.6273291925465838,0.8449972874525304
IBM_Telco,Logistic,SMOTE,3,0.7622427253371186,0.5343915343915344,0.8101604278074866,0.6439957492029755,0.8608256477821696
IBM_Telco,Logistic,SMOTE,4,0.7485795454545454,0.5178907721280602,0.7372654155495979,0.6084070796460177,0.8236274624082061
IBM_Telco,Logistic,SMOTE,5,0.7450284090909091,0.5136116152450091,0.7566844919786097,0.6118918918918919,0.8325166271889447
IBM_Telco,RandomForest,None,1,0.8069552874378992,0.6688741721854304,0.5401069518716578,0.5976331360946746,0.8545661215737942
IBM_Telco,RandomForest,None,2,0.8005677785663591,0.6504854368932039,0.5374331550802139,0.5885797950219619,0.8386266759668294
IBM_Telco,RandomForest,None,3,0.8090844570617459,0.6804123711340206,0.5294117647058824,0.5954887218045113,0.8566121573794208
IBM_Telco,RandomForest,None,4,0.7862215909090909,0.6285714285714286,0.4718498659517426,0.5390505359877489,0.824581989612879
IBM_Telco,RandomForest,None,5,0.7990056818181818,0.6585365853658537,0.5053475935828877,0.5718608169440242,0.8372513679289194
IBM_Telco,RandomForest,Class_Weights,1,0.7771469127040455,0.5622406639004149,0.7245989304812834,0.633177570093458,0.8544899119067917
IBM_Telco,RandomForest,Class_Weights,2,0.7686302342086586,0.5483870967741935,0.7272727272727273,0.6252873563218391,0.841180345656049
IBM_Telco,RandomForest,Class_Weights,3,0.7892122072391767,0.5793814432989691,0.7513368983957219,0.6542491268917345,0.8561923583662713
IBM_Telco,RandomForest,Class_Weights,4,0.7599431818181818,0.5369978858350951,0.6809651474530831,0.6004728132387707,0.8240587481058398
IBM_Telco,RandomForest,Class_Weights,5,0.7677556818181818,0.549266247379455,0.7005347593582888,0.6157461809635723,0.8384938818150788
IBM_Telco,RandomForest,SMOTE,1,0.7778566359119943,0.5667396061269147,0.6925133689839572,0.6233453670276775,0.8434110930274613
IBM_Telco,RandomForest,SMOTE,2,0.7735982966643009,0.5564681724845996,0.7245989304812834,0.629500580720093,0.8376940763130021
IBM_Telco,RandomForest,SMOTE,3,0.7849538679914834,0.5776805251641138,0.7058823529411765,0.6353790613718412,0.8478299620243355
IBM_Telco,RandomForest,SMOTE,4,0.7691761363636364,0.5547945205479452,0.6514745308310992,0.5992601726263872,0.8221108391291397
IBM_Telco,RandomForest,SMOTE,5,0.7620738636363636,0.5414012738853503,0.6818181818181818,0.6035502958579881,0.8256239721139027
IBM_Telco,XGB,None,1,0.808374733853797,0.6688311688311688,0.5508021390374331,0.6041055718475073,0.8528184659898215
IBM_Telco,XGB,None,2,0.8005677785663591,0.6448598130841121,0.553475935828877,0.5956834532374101,0.8443734015345268
IBM_Telco,XGB,None,3,0.8055358410220014,0.668918918918919,0.5294117647058824,0.591044776119403,0.857183084037304
IBM_Telco,XGB,None,4,0.7897727272727273,0.6370106761565836,0.47989276139410186,0.5474006116207951,0.8320174586522645
